bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
RIKSBANK,Martin Flodén,2021-06-01,DOC_1218CFA9CD38,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2021-06-01,DOC_F68A47B85D17,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2022-06-01,DOC_46AEECFDCE45,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2022-06-01,DOC_580B81429D51,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2022-06-01,DOC_BFC9E64CFA19,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2023-06-01,DOC_420BA9223F3A,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén,2024-06-01,DOC_DEDC9C058175,0.0,0.0,0.0,,,stable
RIKSBANK,Martin Flodén visits Borlänge,2024-06-01,DOC_F4424CFDC19B,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2021-06-01,DOC_2B033ABDEC0E,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2021-06-01,DOC_B2364112BE99,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2022-06-01,DOC_12F16BE67F2B,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2022-06-01,DOC_2F4087B7C792,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2023-06-01,DOC_ACAF4A13DBF1,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2023-06-01,DOC_C9C6571A9B69,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2023-06-01,DOC_D0C8B160CF64,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_262AF5A01350,0.0,0.0,0.0,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_508CCFA4893C,1.8,0.9,0.9,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_6443B05DE9E1,0.0,0.6,0.6,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_9A99443CF93A,0.0,0.45,0.45,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_9C9EDA1C6D09,0.0,0.36,0.36,,,stable
RIKSBANK,Per Jansson,2024-06-01,DOC_CE7E711E10A0,0.0,0.3,0.3,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_075B4BD80F33,1.4,1.4,1.4,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_08B4DA0F6E9C,3.6,0.570947375050481,0.570947375050481,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_10E8855B5259,0.0,0.41152355268471674,0.41152355268471674,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_354B182914E6,0.0,0.4343859722783121,0.4343859722783121,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_3569D98F8211,0.0,0.4599380882946834,0.4599380882946834,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_428E9D7F6922,0.0,0.48868421881310115,0.48868421881310115,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_4CDF88BC148F,2.2189475010096187,0.5212631667339745,0.5212631667339745,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_5F2F36B1DFE1,0.0,0.39999999999999997,0.39999999999999997,,,stable
