bank,date_au,daily_avg_score,rolling_30d_score,rolling_90d_score,rolling_180d_score,momentum_30_vs_90,momentum_classification,documents_count
FED,2021-09-28,0.0,-0.3250699332842307,-0.10964228203239641,-0.0009053452293269164,-0.21542765125183433,stable,1
FED,2021-10-05,0.0,-0.2708916110701923,-0.1018106904586538,-0.0008741264283156435,-0.16908092061153845,stable,1
FED,2021-10-07,0.0,-0.23219280948873622,-0.09502331109474356,-0.000844988880705122,-0.13716949839399267,stable,1
FED,2021-10-12,0.0,-0.23219280948873622,-0.09502331109474356,-0.000844988880705122,-0.13716949839399267,stable,1
FED,2021-10-13,0.0,-0.2031687083026442,-0.08908435415132208,-0.0008177311748759245,-0.1140843541513221,stable,2
FED,2021-10-18,4.199999999999999,0.2860722592865384,0.16321472550463798,0.13045782292433894,0.12285753378190042,stable,1
FED,2021-10-19,0.0,0.25746503335788457,0.15414724075438033,0.12650455556299534,0.10331779260350424,stable,2
FED,2021-10-20,1.8,0.39769548487080414,0.2407710701883603,0.17572500981114253,0.15692441468244384,stable,1
FED,2021-10-22,0.0,0.5454545454545454,0.2287325166789423,0.17070429524510988,0.3167220287756031,stable,1
FED,2021-11-03,0.9,0.7666666666666666,0.32966564584867786,0.22953485859329836,0.43700102081798875,stable,2
FED,2021-11-08,0.0,0.8624999999999999,0.31027354903404974,0.23670782292433895,0.5522264509659502,stable,3
FED,2021-11-09,0.0,0.7666666666666666,0.2930361296432692,0.23670782292433895,0.4736305370233974,stable,1
FED,2021-11-17,0.0,0.38571428571428573,0.2930361296432692,0.23670782292433895,0.09267815607101654,stable,1
FED,2021-11-19,0.0,0.15,0.2776131754515182,0.22953485859329836,-0.1276131754515182,stable,2
FED,2021-11-29,0.0,0.15,0.2776131754515182,0.19918226882512408,-0.1276131754515182,stable,2
FED,2021-11-30,0.0,0.1285714285714286,0.26373251667894226,0.15402097850254343,-0.13516108810751368,stable,1
FED,2021-12-02,1.4,0.2875,0.31784049207518317,0.19295782292433894,-0.03034049207518319,stable,1
FED,2021-12-15,-0.4999999999999999,0.15,0.29403096826565933,0.19920782292433895,-0.14403096826565934,stable,2
FED,2021-12-17,1.8,0.45,0.36248410607176573,0.24771667677511655,0.08751589392823428,stable,1
FED,2022-01-26,-0.7,-0.7,0.26363636363636367,0.25085001150271885,-0.9636363636363636,stable,2
FED,2022-02-18,0.0,-0.35,0.2857142857142857,0.2797942435991864,-0.6357142857142857,stable,2
FED,2022-02-21,0.0,-0.2333333333333333,0.25,0.2694314938362536,-0.4833333333333333,stable,1
FED,2022-02-24,-2.2189475010096187,-0.7297368752524047,-0.024327500112179854,0.18724825305811954,-0.7054093751402248,stable,1
FED,2022-03-16,-0.009473750504809253,-0.557105312878607,-0.18807020858573797,0.1868973734097933,-0.369035104292869,stable,2
FED,2022-03-18,0.0,-0.4456842503028856,-0.488070208585738,0.18022246721658639,0.04238595828285241,stable,1
FED,2022-03-21,0.2000000000000001,-0.4056842503028856,-0.38977446450206116,0.24541352673162758,-0.015909785800824416,stable,1
FED,2022-03-24,0.0,-0.4056842503028856,-0.3410526564393035,0.24541352673162756,-0.06463159386358208,stable,1
