bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction,alert_strength
FED,Michelle W. Bowman,2025-03-07,DOC_09F4C12700F8,-1.4,1.3199999999999998,0.0,3.3,-3.3,dovish shift,strong
FED,Michael S. Barr,2025-03-24,DOC_C0860A46537A,0.0,1.1999999999999995,0.0,2.3999999999999995,-2.3999999999999995,dovish shift,strong
FED,Adriana D. Kugler,2025-03-25,DOC_9EA9924DDAEF,0.0,2.04531333371795,0.9,4.33594000115385,-3.4359400011538503,dovish shift,strong
FED,Philip N. Jefferson,2025-04-03,DOC_18D173CC2EEB,1.4,0.1962104997980763,1.4,-0.1047368752524046,1.5047368752524046,hawkish shift,mild
FED,Lisa D. Cook,2025-04-03,DOC_B5A65767993B,0.0,0.7,0.0,1.4,-1.4,dovish shift,mild
FED,Michael S. Barr,2025-04-04,DOC_E251637757F5,0.0,0.9599999999999996,0.0,1.5999999999999996,-1.5999999999999996,dovish shift,mild
FED,Adriana D. Kugler,2025-04-07,DOC_B697A0402D6E,0.0,1.5339850002884623,0.0,3.067970000576925,-3.067970000576925,dovish shift,strong
FED,Jerome H. Powell,2025-04-16,DOC_8EEC58439500,-1.4,-0.9333333333333332,-1.4,0.0,-1.4,dovish shift,mild
FED,Michael S. Barr,2025-04-17,DOC_B188CCD889EA,0.0,0.7999999999999998,0.0,1.5999999999999996,-1.5999999999999996,dovish shift,mild
FED,Opening Remarks,2025-06-24,DOC_84A53E8BC692,0.0,-0.4666666666666666,0.0,-1.4,1.4,hawkish shift,mild
FED,Lisa D. Cook,2025-07-17,DOC_2B2B8E10C95E,0.0,0.7,0.0,1.4,-1.4,dovish shift,mild
FED,Adriana D. Kugler,2025-07-17,DOC_B8CC5594432F,0.0,0.7264662506490402,0.0,1.4529325012980814,-1.4529325012980814,dovish shift,mild
FED,Christopher J. Waller,2025-08-01,DOC_78729FD1BC78,-1.2,0.16,-0.6,0.6666666666666666,-1.2666666666666666,dovish shift,mild
FED,Michelle W. Bowman,2025-08-01,DOC_F4B45AF4E5DB,0.0,-1.1094737505048091,0.0,-2.2189475010096187,2.2189475010096187,hawkish shift,strong
FED,Michelle W. Bowman,2025-08-09,DOC_425C4974F38D,2.2,-0.0063158336698728,1.1,-2.2189475010096187,3.3189475010096188,hawkish shift,strong
FED,Jerome H. Powell,2025-09-23,DOC_D24462A86705,-3.250699332842307,-1.2232156112839752,-3.250699332842307,-0.2094737505048093,-3.0412255823374976,dovish shift,strong
FED,Michelle W. Bowman,2025-09-26,DOC_526FEBB57CC5,-2.2189475010096187,-0.0063158336698728,-2.2189475010096187,1.1,-3.3189475010096188,dovish shift,strong
FED,Jerome H. Powell,2025-10-09,DOC_79E2C4D868C6,0.0,-0.9174117084629816,-1.6253496664211535,-0.2094737505048093,-1.4158759159163443,dovish shift,mild
FED,Michelle W. Bowman,2025-10-09,DOC_0F8E61CD579F,0.0,-0.0047368752524046,-1.1094737505048091,1.1,-2.209473750504809,dovish shift,strong
FED,Jerome H. Powell,2025-10-14,DOC_3DDDF8B17DCB,-2.8,-1.293929366770385,-2.016899777614102,-0.2094737505048093,-1.8074260271092928,dovish shift,mild
FED,Jerome H. Powell,2025-12-01,DOC_BDEF610F7E90,0.0,-1.5126748332105766,0.0,-2.016899777614102,2.016899777614102,hawkish shift,strong
FED,Jerome H. Powell,2026-01-11,DOC_5AC4F39A96F8,0.0,-0.9333333333333336,0.0,-1.4,1.4,hawkish shift,mild
FED,Philip N. Jefferson,2026-01-16,DOC_3985834A441C,-2.2189475010096187,-1.0094737505048093,-2.2189475010096187,-0.6063158336698729,-1.6126316673397458,dovish shift,mild
FED,Christopher J. Waller,2026-01-30,DOC_AE96B46D54F1,0.0,0.9,0.0,1.8,-1.8,dovish shift,mild
FED,Michelle W. Bowman,2026-02-16,DOC_5D01C02457E0,0.0,-0.4999999999999999,-1.4,0.4000000000000001,-1.8,dovish shift,mild
FED,Michael S. Barr,2026-03-26,DOC_AE52E1DA1565,2.8,2.1,2.8,1.4,1.4,hawkish shift,mild
FED,Christopher J. Waller,2026-05-08,DOC_D3BB7599D602,0.0,-0.5547368752524047,0.0,-1.1094737505048091,1.1094737505048091,hawkish shift,mild
FED,Michael S. Barr,2026-05-14,DOC_30D90A4339EA,0.0,1.0499999999999998,0.0,2.1,-2.1,dovish shift,strong
RBA,Online,2021-05-06,DOC_51CA583662D8,0.0,0.6666666666666666,0.0,1.0,-1.0,dovish shift,mild
RBA,Online,2021-09-14,DOC_105951ADF557,-1.4,-0.35,-1.4,0.0,-1.4,dovish shift,mild
RBA,Online,2022-02-11,DOC_6AD96DB8CB28,-1.4,-0.1555555555555555,-1.4,0.0,-1.4,dovish shift,mild
RBA,Melbourne,2022-03-13,DOC_F8D4A5350694,0.0,1.2679700005769252,0.0,2.5359400011538504,-2.5359400011538504,dovish shift,strong
RBA,Sydney,2022-07-14,DOC_C56AED5A88E5,0.0,-0.4643856189774724,-1.6253496664211535,0.0,-1.6253496664211535,dovish shift,mild
RBA,Sydney,2022-08-06,DOC_04378C07961A,1.4,-0.2313374166052884,0.4666666666666666,-0.6501398665684615,1.116806533235128,hawkish shift,mild
RBA,Sydney,2022-08-24,DOC_CDCAA5C93C4C,2.0,0.0248834445262821,1.1333333333333333,-1.083566444280769,2.2168997776141026,hawkish shift,strong
RBA,Sydney,2022-09-08,DOC_2345DB196F3D,0.0,0.0248834445262821,1.0,-0.4626748332105768,1.4626748332105768,hawkish shift,mild
RBA,Sydney,2022-09-11,DOC_D804D2D453AE,0.0,0.0213286667368132,0.6666666666666666,-0.4626748332105768,1.1293414998772433,hawkish shift,mild
RBA,Sydney,2022-10-12,DOC_5C12E1170381,0.0,0.25,-0.4666666666666666,0.5666666666666667,-1.0333333333333332,dovish shift,mild
RBA,Sydney,2022-12-14,DOC_C5860FFFA12C,4.0,0.1090909090909091,1.3333333333333333,-0.35,1.6833333333333331,hawkish shift,mild
RBA,Sydney,2023-02-10,DOC_D3F5CEA35098,0.0,0.8,0.0,1.3333333333333333,-1.3333333333333333,dovish shift,mild
